DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2017-05-15	27846195	Li Q	2016-11-11	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27846195	Genome-wide association study of paliperidone efficacy.	Response to paliperidone in schizophrenia (PANSS score)	1,390 European ancestry individuals	NA	7q34	7	139012454		KIAA1549 - ZC3HAV1L	ENSG00000122778	ENSG00000146858		31136	13252	rs77301145-C	rs77301145	0	77301145	intergenic_variant	1	NR	8E-6	5.096910013008056	(GLM)	8.4108	[NR] unit decrease	Illumina [~ 9000000] (imputed)	N	schizophrenia, response to paliperidone, schizophrenia symptom severity measurement	http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007925, http://www.ebi.ac.uk/efo/EFO_0007927	GCST004042	Genome-wide genotyping array
2017-05-15	27846195	Li Q	2016-11-11	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27846195	Genome-wide association study of paliperidone efficacy.	Response to paliperidone in schizophrenia (PANSS score)	1,390 European ancestry individuals	NA	13q14.11	13	44069329		NRAD1 - LINC00390	ENSG00000233725	ENSG00000226519		38868	25493	rs181534711-G	rs181534711	0	181534711	regulatory_region_variant	1	NR	3E-8	7.522878745280337	(GLM)	20.6563	[NR] unit decrease	Illumina [~ 9000000] (imputed)	N	schizophrenia, response to paliperidone, schizophrenia symptom severity measurement	http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007925, http://www.ebi.ac.uk/efo/EFO_0007927	GCST004042	Genome-wide genotyping array
2017-05-15	27846195	Li Q	2016-11-11	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27846195	Genome-wide association study of paliperidone efficacy.	Response to paliperidone in schizophrenia (PANSS score)	1,390 European ancestry individuals	NA	19q11	19	28059504		AC006504.5 - AC010511.1	ENSG00000267575	ENSG00000267509		74520	5763	rs147515995-G	rs147515995	0	147515995	intergenic_variant	1	NR	8E-6	5.096910013008056	(GLM)	11.2777	[NR] unit increase	Illumina [~ 9000000] (imputed)	N	schizophrenia, response to paliperidone, schizophrenia symptom severity measurement	http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007925, http://www.ebi.ac.uk/efo/EFO_0007927	GCST004042	Genome-wide genotyping array
2017-05-15	27846195	Li Q	2016-11-11	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27846195	Genome-wide association study of paliperidone efficacy.	Response to paliperidone in schizophrenia (PANSS score)	1,390 European ancestry individuals	NA	4q12	4	53526544		LNX1-AS1, LNX1, AC058822.1			ENSG00000250930, ENSG00000072201, ENSG00000282278			rs115342620-A	rs115342620	0	115342620	intron_variant	0	NR	9E-6	5.045757490560675	(GLM)	12.8016	[NR] unit decrease	Illumina [~ 9000000] (imputed)	N	schizophrenia, response to paliperidone, schizophrenia symptom severity measurement	http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007925, http://www.ebi.ac.uk/efo/EFO_0007927	GCST004042	Genome-wide genotyping array
2017-05-15	27846195	Li Q	2016-11-11	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27846195	Genome-wide association study of paliperidone efficacy.	Response to paliperidone in schizophrenia (PANSS score)	1,390 European ancestry individuals	NA	18q22.3	18	71833874		LINC01899 - AC027458.1	ENSG00000265352	ENSG00000260457		45746	3165	rs8094969-A	rs8094969	0	8094969	intergenic_variant	1	NR	7E-6	5.154901959985743	(GLM)	3.1476	[NR] unit increase	Illumina [~ 9000000] (imputed)	N	schizophrenia, response to paliperidone, schizophrenia symptom severity measurement	http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007925, http://www.ebi.ac.uk/efo/EFO_0007927	GCST004042	Genome-wide genotyping array
2017-05-15	27846195	Li Q	2016-11-11	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27846195	Genome-wide association study of paliperidone efficacy.	Response to paliperidone in schizophrenia (PANSS score)	1,390 European ancestry individuals	NA	5q35.1	5	170352321		LINC01366 - KCNIP1	ENSG00000235172	ENSG00000182132		16813	1166	rs76131026-G	rs76131026	0	76131026	intergenic_variant	1	NR	8E-8	7.096910013008056	(GLM)	30.5578	[NR] unit decrease	Illumina [~ 9000000] (imputed)	N	schizophrenia, response to paliperidone, schizophrenia symptom severity measurement	http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007925, http://www.ebi.ac.uk/efo/EFO_0007927	GCST004042	Genome-wide genotyping array
2017-05-15	27846195	Li Q	2016-11-11	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27846195	Genome-wide association study of paliperidone efficacy.	Response to paliperidone in schizophrenia (PANSS score)	1,390 European ancestry individuals	NA	14q24.3	14	75399932		LINC01220 - AF111167.2	ENSG00000259687	ENSG00000259319		101823	23751	rs4903318-G	rs4903318	0	4903318	regulatory_region_variant	1	NR	8E-6	5.096910013008056	(GLM)	2.9084	[NR] unit increase	Illumina [~ 9000000] (imputed)	N	schizophrenia, response to paliperidone, schizophrenia symptom severity measurement	http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007925, http://www.ebi.ac.uk/efo/EFO_0007927	GCST004042	Genome-wide genotyping array
2017-05-15	27846195	Li Q	2016-11-11	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27846195	Genome-wide association study of paliperidone efficacy.	Response to paliperidone in schizophrenia (PANSS score)	1,390 European ancestry individuals	NA	20q11.22	20	35678548		NFS1			ENSG00000244005			rs7268897-?	rs7268897	0	7268897	intron_variant	0	NR	7E-6	5.154901959985743	(MLM)	0.4867662	[0.27-0.7] unit increase	Illumina [~ 9000000] (imputed)	N	schizophrenia, response to paliperidone, schizophrenia symptom severity measurement	http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007925, http://www.ebi.ac.uk/efo/EFO_0007927	GCST004042	Genome-wide genotyping array
2017-05-15	27846195	Li Q	2016-11-11	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27846195	Genome-wide association study of paliperidone efficacy.	Response to paliperidone in schizophrenia (PANSS score)	1,390 European ancestry individuals	NA	1q31.1	1	189924464		AL591504.2 - AL359976.1	ENSG00000287472	ENSG00000230987		48304	65106	rs34252091-?	rs34252091	0	34252091	intergenic_variant	1	NR	6E-6	5.221848749616356	(MLM)	0.2247672	[0.13-0.32] unit increase	Illumina [~ 9000000] (imputed)	N	schizophrenia, response to paliperidone, schizophrenia symptom severity measurement	http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007925, http://www.ebi.ac.uk/efo/EFO_0007927	GCST004042	Genome-wide genotyping array
2017-05-15	27846195	Li Q	2016-11-11	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27846195	Genome-wide association study of paliperidone efficacy.	Response to paliperidone in schizophrenia (PANSS score)	1,390 European ancestry individuals	NA	6q26	6	161931643		PRKN			ENSG00000185345			rs117673608-G	rs117673608	0	117673608	intron_variant	0	NR	8E-7	6.096910013008056	(GLM)	26.3182	[NR] unit decrease	Illumina [~ 9000000] (imputed)	N	schizophrenia, response to paliperidone, schizophrenia symptom severity measurement	http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007925, http://www.ebi.ac.uk/efo/EFO_0007927	GCST004042	Genome-wide genotyping array
2017-05-15	27846195	Li Q	2016-11-11	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27846195	Genome-wide association study of paliperidone efficacy.	Response to paliperidone in schizophrenia (PANSS score)	1,390 European ancestry individuals	NA	20q11.23	20	35913170		PHF20			ENSG00000025293			rs17093238-A	rs17093238	0	17093238	intron_variant	0	NR	2E-6	5.698970004336019	(GLM)	8.986	[NR] unit decrease	Illumina [~ 9000000] (imputed)	N	schizophrenia, response to paliperidone, schizophrenia symptom severity measurement	http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007925, http://www.ebi.ac.uk/efo/EFO_0007927	GCST004042	Genome-wide genotyping array
2017-05-15	27846195	Li Q	2016-11-11	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27846195	Genome-wide association study of paliperidone efficacy.	Response to paliperidone in schizophrenia (PANSS score)	1,390 European ancestry individuals	NA	20q11.23	20	35913170		PHF20			ENSG00000025293			rs17093238-?	rs17093238	0	17093238	intron_variant	0	NR	2E-6	5.698970004336019	(MLM)	0.5214499	[0.31-0.74] unit increase	Illumina [~ 9000000] (imputed)	N	schizophrenia, response to paliperidone, schizophrenia symptom severity measurement	http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007925, http://www.ebi.ac.uk/efo/EFO_0007927	GCST004042	Genome-wide genotyping array
2017-05-15	27846195	Li Q	2016-11-11	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27846195	Genome-wide association study of paliperidone efficacy.	Response to paliperidone in schizophrenia (PANSS score)	1,390 European ancestry individuals	NA	4p16.3	4	2185650		POLN, HAUS3			ENSG00000130997, ENSG00000214367			rs9993696-T	rs9993696	0	9993696	intron_variant	0	NR	8E-6	5.096910013008056	(GLM)	6.3351	[NR] unit decrease	Illumina [~ 9000000] (imputed)	N	schizophrenia, response to paliperidone, schizophrenia symptom severity measurement	http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007925, http://www.ebi.ac.uk/efo/EFO_0007927	GCST004042	Genome-wide genotyping array
2017-05-15	27846195	Li Q	2016-11-11	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27846195	Genome-wide association study of paliperidone efficacy.	Response to paliperidone in schizophrenia (PANSS score)	1,390 European ancestry individuals	NA	4p16.3	4	2101369		HAUS3, POLN			ENSG00000214367, ENSG00000130997			rs1923775-?	rs1923775	0	1923775	intron_variant	0	NR	9E-6	5.045757490560675	(MLM)	0.1839497	[0.1-0.26] unit increase	Illumina [~ 9000000] (imputed)	N	schizophrenia, response to paliperidone, schizophrenia symptom severity measurement	http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007925, http://www.ebi.ac.uk/efo/EFO_0007927	GCST004042	Genome-wide genotyping array
2017-05-15	27846195	Li Q	2016-11-11	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27846195	Genome-wide association study of paliperidone efficacy.	Response to paliperidone in schizophrenia (PANSS score)	1,390 European ancestry individuals	NA	11q13.5	11	76401041		GVQW3			ENSG00000179240			rs4945082-A	rs4945082	0	4945082	intron_variant	0	NR	5E-6	5.301029995663981	(GLM)	4.651	[NR] unit decrease	Illumina [~ 9000000] (imputed)	N	schizophrenia, response to paliperidone, schizophrenia symptom severity measurement	http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007925, http://www.ebi.ac.uk/efo/EFO_0007927	GCST004042	Genome-wide genotyping array
2017-05-15	27846195	Li Q	2016-11-11	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27846195	Genome-wide association study of paliperidone efficacy.	Response to paliperidone in schizophrenia (PANSS score)	1,390 European ancestry individuals	NA	5p13.2	5	35162774		PRLR			ENSG00000113494			rs74370740-C	rs74370740	0	74370740	intron_variant	0	NR	6E-6	5.221848749616356	(GLM)	8.9397	[NR] unit decrease	Illumina [~ 9000000] (imputed)	N	schizophrenia, response to paliperidone, schizophrenia symptom severity measurement	http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007925, http://www.ebi.ac.uk/efo/EFO_0007927	GCST004042	Genome-wide genotyping array
2017-05-15	27846195	Li Q	2016-11-11	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27846195	Genome-wide association study of paliperidone efficacy.	Response to paliperidone in schizophrenia (PANSS score)	1,390 European ancestry individuals	NA	8p22	8	18600936		PSD3			ENSG00000156011			rs2634458-?	rs2634458	0	2634458	intron_variant	0	NR	6E-6	5.221848749616356	(MLM)	0.489852	[0.28-0.7] unit decrease	Illumina [~ 9000000] (imputed)	N	schizophrenia, response to paliperidone, schizophrenia symptom severity measurement	http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007925, http://www.ebi.ac.uk/efo/EFO_0007927	GCST004042	Genome-wide genotyping array
2017-05-15	27846195	Li Q	2016-11-11	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27846195	Genome-wide association study of paliperidone efficacy.	Response to paliperidone in schizophrenia (PANSS score)	1,390 European ancestry individuals	NA	11q23.3	11	119793235		AP003390.1 - AP001994.1	ENSG00000254854	ENSG00000254406		53612	28069	rs73006788-C	rs73006788	0	73006788	regulatory_region_variant	1	NR	1E-6	6.0	(GLM)	13.0042	[NR] unit decrease	Illumina [~ 9000000] (imputed)	N	schizophrenia, response to paliperidone, schizophrenia symptom severity measurement	http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007925, http://www.ebi.ac.uk/efo/EFO_0007927	GCST004042	Genome-wide genotyping array
2017-05-15	27846195	Li Q	2016-11-11	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27846195	Genome-wide association study of paliperidone efficacy.	Response to paliperidone in schizophrenia (PANSS score)	1,390 European ancestry individuals	NA	6q22.1	6	117132166		RNA5SP214 - Z98880.1	ENSG00000200248	ENSG00000287253		71367	130077	rs142794624-?	rs142794624	0	142794624	intergenic_variant	1	NR	4E-6	5.3979400086720375	(MLM)	0.5155792	[0.3-0.73] unit increase	Illumina [~ 9000000] (imputed)	N	schizophrenia, response to paliperidone, schizophrenia symptom severity measurement	http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007925, http://www.ebi.ac.uk/efo/EFO_0007927	GCST004042	Genome-wide genotyping array
2017-05-15	27846195	Li Q	2016-11-11	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27846195	Genome-wide association study of paliperidone efficacy.	Response to paliperidone in schizophrenia (PANSS score)	1,390 European ancestry individuals	NA	15q26.1	15	93411839		AC091078.1			ENSG00000257060			rs1906727-C	rs1906727	0	1906727	intron_variant	0	NR	8E-6	5.096910013008056	(GLM)	3.2907	[NR] unit increase	Illumina [~ 9000000] (imputed)	N	schizophrenia, response to paliperidone, schizophrenia symptom severity measurement	http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007925, http://www.ebi.ac.uk/efo/EFO_0007927	GCST004042	Genome-wide genotyping array
2017-05-15	27846195	Li Q	2016-11-11	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27846195	Genome-wide association study of paliperidone efficacy.	Response to paliperidone in schizophrenia (PANSS score)	1,390 European ancestry individuals	NA	14q22.2	14	54733816		SAMD4A			ENSG00000020577			rs4901536-?	rs4901536	0	4901536	intron_variant	0	NR	1E-6	6.0	(MLM)	0.2108473	[0.13-0.3] unit increase	Illumina [~ 9000000] (imputed)	N	schizophrenia, response to paliperidone, schizophrenia symptom severity measurement	http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007925, http://www.ebi.ac.uk/efo/EFO_0007927	GCST004042	Genome-wide genotyping array
2017-05-15	27846195	Li Q	2016-11-11	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27846195	Genome-wide association study of paliperidone efficacy.	Response to paliperidone in schizophrenia (PANSS score)	1,390 European ancestry individuals	NA	5q33.3	5	156619236		SGCD			ENSG00000170624			rs62380867-?	rs62380867	0	62380867	intron_variant	0	NR	1E-8	8.0	(MLM)	0.5614234	[0.37-0.75] unit increase	Illumina [~ 9000000] (imputed)	N	schizophrenia, response to paliperidone, schizophrenia symptom severity measurement	http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007925, http://www.ebi.ac.uk/efo/EFO_0007927	GCST004042	Genome-wide genotyping array
2017-05-15	27846195	Li Q	2016-11-11	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27846195	Genome-wide association study of paliperidone efficacy.	Response to paliperidone in schizophrenia (PANSS score)	1,390 European ancestry individuals	NA	5q33.3	5	156619236		SGCD			ENSG00000170624			rs62380867-A	rs62380867	0	62380867	intron_variant	0	NR	6E-7	6.221848749616356	(GLM)	7.9915	[NR] unit decrease	Illumina [~ 9000000] (imputed)	N	schizophrenia, response to paliperidone, schizophrenia symptom severity measurement	http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007925, http://www.ebi.ac.uk/efo/EFO_0007927	GCST004042	Genome-wide genotyping array
2017-05-15	27846195	Li Q	2016-11-11	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27846195	Genome-wide association study of paliperidone efficacy.	Response to paliperidone in schizophrenia (PANSS score)	1,390 European ancestry individuals	NA	5q33.3	5	156466557		SGCD			ENSG00000170624			rs62382696-A	rs62382696	0	62382696	intron_variant	0	NR	1E-6	6.0	(GLM)	7.5388	[NR] unit decrease	Illumina [~ 9000000] (imputed)	N	schizophrenia, response to paliperidone, schizophrenia symptom severity measurement	http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007925, http://www.ebi.ac.uk/efo/EFO_0007927	GCST004042	Genome-wide genotyping array
2017-05-15	27846195	Li Q	2016-11-11	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27846195	Genome-wide association study of paliperidone efficacy.	Response to paliperidone in schizophrenia (PANSS score)	1,390 European ancestry individuals	NA	18q12.3	18	45832663		SIGLEC15			ENSG00000197046			rs11082490-?	rs11082490	0	11082490	intron_variant	0	NR	5E-6	5.301029995663981	(MLM)	0.2760101	[0.16-0.39] unit increase	Illumina [~ 9000000] (imputed)	N	schizophrenia, response to paliperidone, schizophrenia symptom severity measurement	http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007925, http://www.ebi.ac.uk/efo/EFO_0007927	GCST004042	Genome-wide genotyping array
2017-05-15	27846195	Li Q	2016-11-11	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27846195	Genome-wide association study of paliperidone efficacy.	Response to paliperidone in schizophrenia (PANSS score)	1,390 European ancestry individuals	NA	11p14.3	11	22340750		SLC17A6			ENSG00000091664			rs1447514-?	rs1447514	0	1447514	intron_variant	0	NR	5E-6	5.301029995663981	(MLM)	0.2921513	[0.17-0.42] unit increase	Illumina [~ 9000000] (imputed)	N	schizophrenia, response to paliperidone, schizophrenia symptom severity measurement	http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007925, http://www.ebi.ac.uk/efo/EFO_0007927	GCST004042	Genome-wide genotyping array
2017-05-15	27846195	Li Q	2016-11-11	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27846195	Genome-wide association study of paliperidone efficacy.	Response to paliperidone in schizophrenia (PANSS score)	1,390 European ancestry individuals	NA	17p11.2	17	19008954		SLC5A10			ENSG00000154025			rs111527967-G	rs111527967	0	111527967	intron_variant	0	NR	7E-6	5.154901959985743	(GLM)	12.4453	[NR] unit decrease	Illumina [~ 9000000] (imputed)	N	schizophrenia, response to paliperidone, schizophrenia symptom severity measurement	http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007925, http://www.ebi.ac.uk/efo/EFO_0007927	GCST004042	Genome-wide genotyping array
2017-05-15	27846195	Li Q	2016-11-11	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27846195	Genome-wide association study of paliperidone efficacy.	Response to paliperidone in schizophrenia (PANSS score)	1,390 European ancestry individuals	NA	14q24.3	14	77646050		SPTLC2 - COX6CP11	ENSG00000100596	ENSG00000258668		29277	6777	rs59721556-?	rs59721556	0	59721556	TF_binding_site_variant	1	NR	4E-6	5.3979400086720375	(MLM)	0.2285079	[0.13-0.33] unit increase	Illumina [~ 9000000] (imputed)	N	schizophrenia, response to paliperidone, schizophrenia symptom severity measurement	http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007925, http://www.ebi.ac.uk/efo/EFO_0007927	GCST004042	Genome-wide genotyping array
2017-05-15	27846195	Li Q	2016-11-11	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27846195	Genome-wide association study of paliperidone efficacy.	Response to paliperidone in schizophrenia (PANSS score)	1,390 European ancestry individuals	NA	22q13.31	22	47616362		LINC00898			ENSG00000205634			rs76989557-G	rs76989557	0	76989557	intron_variant	0	NR	1E-6	6.0	(GLM)	9.38	[NR] unit decrease	Illumina [~ 9000000] (imputed)	N	schizophrenia, response to paliperidone, schizophrenia symptom severity measurement	http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007925, http://www.ebi.ac.uk/efo/EFO_0007927	GCST004042	Genome-wide genotyping array
2017-05-15	27846195	Li Q	2016-11-11	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27846195	Genome-wide association study of paliperidone efficacy.	Response to paliperidone in schizophrenia (PANSS score)	1,390 European ancestry individuals	NA	15q25.2	15	81716770		AC104041.1, AC060809.1			ENSG00000259692, ENSG00000259543			rs12915820-T	rs12915820	0	12915820	intron_variant	0	NR	1E-7	7.0	(GLM)	3.4619	[NR] unit decrease	Illumina [~ 9000000] (imputed)	N	schizophrenia, response to paliperidone, schizophrenia symptom severity measurement	http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007925, http://www.ebi.ac.uk/efo/EFO_0007927	GCST004042	Genome-wide genotyping array
2017-05-15	27846195	Li Q	2016-11-11	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27846195	Genome-wide association study of paliperidone efficacy.	Response to paliperidone in schizophrenia (PANSS score)	1,390 European ancestry individuals	NA	15q25.2	15	81716770		AC104041.1, AC060809.1			ENSG00000259692, ENSG00000259543			rs12915820-?	rs12915820	0	12915820	intron_variant	0	NR	2E-6	5.698970004336019	(MLM)	0.1859238	[0.11-0.26] unit increase	Illumina [~ 9000000] (imputed)	N	schizophrenia, response to paliperidone, schizophrenia symptom severity measurement	http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007925, http://www.ebi.ac.uk/efo/EFO_0007927	GCST004042	Genome-wide genotyping array
2017-05-15	27846195	Li Q	2016-11-11	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27846195	Genome-wide association study of paliperidone efficacy.	Response to paliperidone in schizophrenia (PANSS score)	1,390 European ancestry individuals	NA	8q12.1	8	58871645		TOX			ENSG00000198846			rs73249047-?	rs73249047	0	73249047	intron_variant	0	NR	8E-6	5.096910013008056	(MLM)	0.4501463	[0.25-0.65] unit increase	Illumina [~ 9000000] (imputed)	N	schizophrenia, response to paliperidone, schizophrenia symptom severity measurement	http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007925, http://www.ebi.ac.uk/efo/EFO_0007927	GCST004042	Genome-wide genotyping array
2017-05-15	27846195	Li Q	2016-11-11	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27846195	Genome-wide association study of paliperidone efficacy.	Response to paliperidone in schizophrenia (PANSS score)	1,390 European ancestry individuals	NA	3q24	3	147592931		NPM1P28 - AC092925.1	ENSG00000240804	ENSG00000239661		1096	251192	rs111916630-A	rs111916630	0	111916630	intergenic_variant	1	NR	5E-6	5.301029995663981	(GLM)	6.7737	[NR] unit decrease	Illumina [~ 9000000] (imputed)	N	schizophrenia, response to paliperidone, schizophrenia symptom severity measurement	http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007925, http://www.ebi.ac.uk/efo/EFO_0007927	GCST004042	Genome-wide genotyping array
2017-05-15	27846195	Li Q	2016-11-11	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27846195	Genome-wide association study of paliperidone efficacy.	Response to paliperidone in schizophrenia (PANSS score)	1,390 European ancestry individuals	NA	1p22.2	1	90109901		AL161797.1 - AC098656.1	ENSG00000287015	ENSG00000287406		62792	132187	rs146460178-C	rs146460178	0	146460178	intergenic_variant	1	NR	9E-6	5.045757490560675	(GLM)	15.8127	[NR] unit decrease	Illumina [~ 9000000] (imputed)	N	schizophrenia, response to paliperidone, schizophrenia symptom severity measurement	http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007925, http://www.ebi.ac.uk/efo/EFO_0007927	GCST004042	Genome-wide genotyping array
2017-05-15	27846195	Li Q	2016-11-11	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27846195	Genome-wide association study of paliperidone efficacy.	Response to paliperidone in schizophrenia (PANSS score)	1,390 European ancestry individuals	NA	19q13.41	19	52730908		ZNF611			ENSG00000213020			rs28785552-?	rs28785552	0	28785552	intron_variant	0	NR	9E-6	5.045757490560675	(MLM)	0.1835087	[0.1-0.26] unit increase	Illumina [~ 9000000] (imputed)	N	schizophrenia, response to paliperidone, schizophrenia symptom severity measurement	http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007925, http://www.ebi.ac.uk/efo/EFO_0007927	GCST004042	Genome-wide genotyping array
2017-05-15	27846195	Li Q	2016-11-11	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27846195	Genome-wide association study of paliperidone efficacy.	Response to paliperidone in schizophrenia (Multivariate)	1,390 European ancestry individuals	NA	5q33.3	5	156578156		SGCD			ENSG00000170624			rs138538719-?	rs138538719	0	138538719	intron_variant	0	NR	5E-8	7.301029995663981	(MLM)			Illumina [~ 9000000] (imputed)	N	schizophrenia, response to paliperidone, schizophrenia symptom severity measurement	http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007925, http://www.ebi.ac.uk/efo/EFO_0007927	GCST004043	Genome-wide genotyping array
